序号,彝文,中文,英文
1599,󲵎,1、圆；2、（球）体,1. 圆; 2. (球) 体
1600,󲵏,1、飞；2、飘扬；,"1. 飞; 2. float, drift扬; "
1601,󲵐,1、疾（驰）；2、越（过）,1. 疾(驰) ; 2. 越 (过)
1602,󲵑,越（过）,越 (过)
1603,󲵒,（什么）,（什么）
1604,󲵓,沿（着）,沿 (着)
1605,󲵔,1、亲戚；2、（人名）；3、（彝文古书里的世上凡间）,"1. 亲戚; 2. (person, people名) ; 3,  (彝文古书里的世上凡间)"
1606,󲵕,（消）瘦,(消) 瘦
1607,󲵖,（玉米）,（玉米）
1608,󲵗,（芋头）,（芋头）
1609,󲵘,1、亲（爱）；2、（敬仰）；,1. 亲(爱) ; 2. (敬仰) ; 
1610,󲵙,1、辨认、辨别；2、判、断；2、管、顾；,"1. 辨认, 辨别; 2. 判, 断; 2, tube, pipe, 顾; "
1611,󲵚,帽,帽
1612,󲵛,粮（食）,粮 (食)
1613,󲵜,（布）缝接,"(布) sew, stitch接"
1614,󲵝,饱满、壮实,"饱满, 壮实"
1615,󲵞,（螳螂）,（螳螂）
1616,󲵟,的（虚词）,的 (虚词)
1617,󲵠,（敬仰）,（敬仰）
1618,󲵡,1、哈（欠）；2、张（口）；,1. 哈(欠) ; 2. 张(口) ; 
1619,󲵢,泡（汤）,泡 (汤)
1620,󲵣,（架子猪）,（架子猪）
1621,󲵤,百（数词）,hundred (数词)
1622,󲵥,陷落,"陷fall, drop"
1623,󲵦,（（松、杉树的）嫩尖）,"( (松, 杉树的) 嫩尖)"
1624,󲵧,（“摇钱树”（丧场上设的一种孝帕）,（“摇钱树” (丧场上设的one种孝帕)
1625,󲵨,（旁边）,"（旁edge, side）"
1626,󲵩,（饮食过量）呕吐,(饮食过量) 呕吐
1627,󲵪,卷、本（量词）,"curl, roll, 本 (量词)"
1628,󲵫,侧,侧
1629,󲵬,块,块
1630,󲵭,（经常）,（经常）
1631,󲵮,1、（脚）步；2、步（量词）；,1. (脚) 步; 2. 步(量词) ; 
1632,󲵯,沾（着）,"stick to, get stained (着)"
1633,󲵰,棉（布、花）,"cotton (布, 花)"
1634,󲵱,抹、擦,"wipe, apply, 擦"
1635,󲵲,（嫩）薹,(嫩) 薹
1636,󲵳,（（怜）悯、可怜）,"( (怜) 悯, 可怜)"
1637,󲵴,（玉米）,（玉米）
1638,󲵵,做（梦）,做 (梦)
1639,󲵶,赔偿,赔偿
1640,󲵷,1、好；2、康复；,1. 好; 2. 康复; 
1641,󲵸,（重叠词缀）,（overlapping词缀）
1642,󲵹,切（菜、肉等）,"切 (菜, 肉等)"
1643,󲵺,（头绪）,（头绪）
1644,󲵻,1、桥；2、（亲家）；,1. 桥; 2. (亲家) ; 
1645,󲵼,（形容词缀）（静悄悄）,(形容词缀)  (静悄悄)
1646,󲵽,定,定
1647,󲵾,（喷水枪）,（喷水枪）
1648,󲵿,发抖（使动）,发抖 (使动)
1649,󲶀,时,时
1650,󲶁,铺设,铺设
1651,󲶂,桌（子）,桌 (子)
1652,󲶃,（舌头）,（tongue头）
1653,󲶄,1、稀（烂）；2、炷（量词）；,1. 稀(烂) ; 2. 炷(量词) ; 
1654,󲶅,（窃衣草）,（窃衣grass）
1655,󲶆,问,问
1656,󲶇,1、顽强；2、凶猛；,1. 顽强; 2. 凶猛; 
1657,󲶈,（身体）缺陷,(身体) 缺陷
1658,󲶉,神,神
1659,󲶊,（马虎、草率）,"（horse虎, grass率）"
1660,󲶋,（被盖、铺盖）,"（被盖, 铺盖）"
1661,󲶌,（唠唠叨叨）,（唠唠叨叨）
1662,󲶍,（泄气）,（泄气）
1663,󲶎,（染）料,(染) 料
1664,󲶏,两者之间,两者之间
1665,󲶐,（宫殿（古语））,(宫殿 (ancient saying) )
1666,󲶑,1、丈量（动词；2、（博乍戈（彝语指贵州大方城）；,"1. 丈量(动词; 2. （博乍戈（彝语point, indicate贵州big, largesquare, direction城) ; "
1667,󲶒,（哈）欠,(哈) 欠
1668,󲶓,1、中（暑）；2、（说话）讽刺；,1. 中(暑) ; 2. (说话) 讽刺; 
1669,󲶔,分离,分离
1670,󲶕,（撒娇、娇气）,"（撒娇, 娇气）"
1671,󲶖,（德行）,（德行）
1672,󲶗,我（引述）,我 (引述)
1673,󲶘,熟练,"cooked, ripe练"
1674,󲶙,（香油）,（香油）
1675,󲶚,叫（使、令）,"叫 (使, 令)"
1676,󲶛,（包谷）,"（pack, wrap谷）"
1677,󲶜,1、所（有）；2、（都）是；3、多少；4、（重叠词缀）；,"1. 所(有) ; 2. (都) 是; 3, 多少; 4, (overlapping词缀) ; "
1678,󲶝,（马）蹄,(horse) 蹄
1679,󲶞,部位,部位
1680,󲶟,（可惜）,（可惜）
1681,󲶠,摇晃,摇晃
1682,󲶡,碧、蓝,"碧, 蓝"
1683,󲶢,莓,莓
1684,󲶣,刺（耳）、吵（耳朵）,"刺(耳) , 吵 (耳朵)"
1685,󲶤,（斑茅草）,（斑茅grass）
1686,󲶥,码、叠（动词）,"码, 叠 (动词)"
1687,󲶦,（紫黑色）,（紫黑color）
1688,󲶧,（板栗）,（chestnut）
1689,󲶨,富,富
1690,󲶩,塑（像）,"塑 (like, similar)"
1691,󲶪,1、啄；2、（蛇）咬；,1. 啄; 2. (蛇) 咬; 
1692,󲶫,咚咚（象声词）,咚咚 (onomatopoeia)
1693,󲶬,1、（孩子间互相）逗玩；2、（诱惑）；,1. (孩子间互相) 逗play; 2. (诱惑) ; 
1694,󲶭,（（未曾生过崽的）小母山羊）,( (未曾生过崽的) 小母山羊)
1695,󲶮,孩、童,"孩, 童"
1696,󲶯,（膝关节）,（膝关节）
1697,󲶰,（猛）喝,(猛) 喝
1698,󲶱,（朋友、伙伴、同志）,"（朋友, 伙accompany, 同志）"
1699,󲶲,（冰）柱,(冰) 柱
1700,󲶳,种（子）,种 (子)
1701,󲶴,（一筹莫展）,（one筹莫展）
1702,󲶵,鳝（鱼）,鳝 (鱼)
1703,󲶶,1、玩；2、（玩耍）；,"1. play; 2. (playplay, fool around) ; "
1704,󲶷,呲牙,呲牙
1705,󲶸,1、个（人）；2、（兵员、战士）；,"1. 个(person, people) ; 2. (兵员, 战士) ; "
1706,󲶹,（续断（中药名））,(续断 (中药名) )
1707,󲶺,（（汆cuān）烫),(（汆cuān) 烫)
1708,󲶻,计谋,计谋
1709,󲶼,散,散
1710,󲶽,（虎杖（俗称酸汤杆，一种野生植物）,"（虎杖 (俗称酸汤杆, one种野生植object, thing)"
1711,󲶾,点（头）,点 (头)
1712,󲶿,（胡琴）,（胡琴）
1713,󲷀,唾（液）,唾 (液)
1714,󲷁,1、剥；2、挑（刺）,1. 剥; 2. 挑 (刺)
1715,󲷂,（别作声）,（别作声）
1716,󲷃,雄性（专指山羊）,"male (专point, indicate山羊)"
1717,󲷄,塑（像）,"塑 (like, similar)"
1718,󲷅,通知,通知
1719,󲷆,（芒果）,（芒果）
1720,󲷇,提、簇、串（量词）,"提, cluster, bunch, 串 (量词)"
1721,󲷈,（香油、菜油）,"（香油, 菜油）"
1722,󲷉,（1、脊背；2、保佑）,（1. 脊背; 2. 保佑）
1723,󲷊,（节约）,（节约）
1724,󲷋,脱（粒）,"shed, fall off (粒)"
1725,󲷌,陈（酒）,"陈 (wine, alcohol)"
1726,󲷍,吵、闹,"吵, 闹"
1727,󲷎,1、中间、当中；2、（媒人）；,"1. 中间, 当中; 2. (媒person, people) ; "
1728,󲷏,（礼仪）,（礼仪）
1729,󲷐,（衣）领,(衣) 领
1730,󲷑,1、（山、水等）阻隔；2、（关节、肚子等）绞痛；,"1. (山, 水等) 阻隔; 2. (关节, 肚子等) 绞痛; "
1731,󲷒,（草鞋）,（grass鞋）
1732,󲷓,（植物的）浆、汁,"(植object, thing的) 浆, 汁"
1733,󲷔,村寨,村寨
1734,󲷕,服（气）,服 (气)
1735,󲷖,（树）稍,(树) 稍
1736,󲷗,装（动词）,装 (动词)
1737,󲷘,捆（量词）,捆 (量词)
1738,󲷙,继续,继续
1739,󲷚,牵,牵
1740,󲷛,（五味子果（俗名丈子莓））,(five味子果 (俗名丈子莓) )
1741,󲷜,吹（号角）,吹 (号角)
1742,󲷝,1、比；2、丈量（土地）；,"1. 比; 2. 丈量(土place, location) ; "
1743,󲷞,（人奔跑或者鸟在地上跑）,"（person, people奔跑或者鸟在place, location上跑）"
1744,󲷟,1、嗅；2、（臭味）；,1. 嗅; 2. (臭味) ; 
1745,󲷠,1、慢；2、轻（指动作）；,"1. 慢; 2. 轻(point, indicate动作) ; "
1746,󲷡,耐（心）,"耐 (heart, mind)"
1747,󲷢,汗,汗
1748,󲷣,辨别,辨别
1749,󲷤,耍赖,"play, fool around赖"
1750,󲷥,劈（路）,劈 (路)
1751,󲷦,（（鱼）鳞）,( (鱼) 鳞)
1752,󲷧,昏,昏
1753,󲷨,锡（矿）,锡 (矿)
1754,󲷩,……来……去,……来……去
1755,󲷪,偿还,偿还
1756,󲷫,1、别人，他人；2、彝族家支名；,"1. 别person, people, 他person, people; 2. 彝族家支名; "
1757,󲷬,草席，篾席,"grass席, 篾席"
1758,󲷭,1、寿；2、世；,1. 寿; 2. 世; 
1759,󲷮,（吃油、肉）腻,"(吃油, 肉) 腻"
1760,󲷯,舂（chong）,舂 (chong)
1761,󲷰,塘,塘
1762,󲷱,飞逝,飞逝
1763,󲷲,蕨（菜）,蕨 (菜)
1764,󲷳,港湾,港湾
1765,󲷴,（不耐烦）,（不耐烦）
1766,󲷵,铲,铲
1767,󲷶,花费、费用,"花费, 费用"
1768,󲷷,在（心里）,"在 (heart, mind里)"
1769,󲷸,克、伤,"克, 伤"
1770,󲷹,（灾星）,（灾star）
1771,󲷺,（大蒜）,"（big, large蒜）"
1772,󲷻,胃,胃
1773,󲷼,锦鸡,锦鸡
1774,󲷽,（魂）魄,(魂) 魄
1775,󲷾,（词缀）,（词缀）
1776,󲷿,夭折,夭折
1777,󲸀,签,签
1778,󲸁,牵挂、惦念,"牵挂, 惦念"
1779,󲸂,（毛发）竖起,"(hair, wool发) 竖rise, get up"
1780,󲸃,（摇摇摆摆）,（摇摇摆摆）
1781,󲸄,（果断）,"（decisive, resolute）"
1782,󲸅,（心）狠,"(heart, mind) 狠"
1783,󲸆,豆类,豆class
1784,󲸇,（手）散,(hand) 散
1785,󲸈,耽搁、耽误,"耽搁, 耽误"
1786,󲸉,（鸽子）,（鸽子）
1787,󲸊,烙,烙
1788,󲸋,渐渐,渐渐
1789,󲸌,1、生（孩子）；成长；3（美丽、漂亮）；,"1, 生(孩子) ; 成长; 3(美丽, 漂亮) ; "
1790,󲸍,1、他（受格）；2、（尽管）；3、（乱说、胡说）；,"1. 他(受格) ; 2. (尽tube, pipe) ; 3, (乱说, 胡说) ; "
1791,󲸎,（刺竹）,（刺竹）
1792,󲸏,之上,之上
1793,󲸐,（手）提,(hand) 提
1794,󲸑,混（日子）,混 (日子)
1795,󲸒,墙,wall
1796,󲸓,（议论）,（议论）
1797,󲸔,等量,等量
1798,󲸕,（前缀词）,（前缀词）
1799,󲸖,1、（尽管）；2、（乱说、胡扯）,"1. (尽tube, pipe) ; 2.  (乱说, 胡扯)"
1800,󲸗,枷锁,枷锁
1801,󲸘,斟酌,斟酌
1802,󲸙,（抢救）,（抢救）
1803,󲸚,（变）成,(变) 成
1804,󲸛,块、砣（量词）,"块, 砣 (量词)"
1805,󲸜,软弱,软弱
1806,󲸝,（故事）,（故事）
1807,󲸞,（蝼蚁）,（蝼蚁）
1808,󲸟,要（语气助词）,要 (modal particle)
1809,󲸠,（皇帝）,（皇帝）
1810,󲸡,凑（钱）、集（资）,"凑(钱) , 集 (资)"
1811,󲸢,啃,啃
1812,󲸣,1、掩、抹；沾；,"1, 掩, wipe, apply; stick to, get stained; "
1813,󲸤,荡（刀子）,荡 (刀子)
1814,󲸥,积（德）,积 (德)
1815,󲸦,（宫殿（古语））,(宫殿 (ancient saying) )
1816,󲸧,归、回,"归, 回"
1817,󲸨,鸟、雀,"鸟, 雀"
1818,󲸩,1、鹅；2、（鄂莫，（古代彝族的一个部落））3、（地方用词）；,"1. 鹅; 2. (鄂莫,  (古代彝族的one个部fall, drop) )3, (place, locationsquare, direction用词) ; "
1819,󲸪,五（数词）,five (数词)
1820,󲸫,1、兑（卦名）；2、（远古部族名）；,1. 兑(卦名) ; 2. (远古部族名) ; 
1821,󲸬,1、（阿别纳，一种原始的彝族舞蹈）；2、（黄鼠狼）；3、（脚后跟）；,"1. (阿别纳, one种原始的彝族舞蹈) ; 2. (黄鼠wolf) ; 3, (脚后follow) ; "
1822,󲸭,（虾子）,（虾子）
1823,󲸮,牺牲,牺牲
1824,󲸯,1、（家族）；2、（古代人名）；,"1. (家族) ; 2. (古代person, people名) ; "
1825,󲸰,（（歌中的）对歌）,( (歌中的) 对歌)
1826,󲸱,遗留,遗留
1827,󲸲,憨（吃）,憨 (吃)
1828,󲸳,越、愈,"越, 愈"
1829,󲸴,淋,淋
1830,󲸵,1、匀；2、间（苗）；,1. 匀; 2. 间(苗) ; 
1831,󲸶,（腰围大，口径小编制精细的篾箩）,"（腰围big, large, 口径小编制精细的bamboo basket）"
1832,󲸷,盖（章）,盖 (章)
1833,󲸸,1、跑；2、母畜发情；,1. 跑; 2. 母畜发情; 
1834,󲸹,（山茶）,（山茶）
1835,󲸺,（完）成,(完) 成
1836,󲸻,（碗）,（碗）
1837,󲸼,（用手）挡,(用hand) 挡
1838,󲸽,1、背面；2、后面；3、（斧子）；,"1. 背face, surface; 2. 后face, surface; 3, (斧子) ; "
1839,󲸾,女（儿）,女 (儿)
1840,󲸿,拌、和,"拌, 和"
1841,󲹀,擀,擀
1842,󲹁,从,从
1843,󲹂,（亚麻）,"（亚hemp, numb）"
1844,󲹃,缩,缩
1845,󲹄,先,先
1846,󲹅,件（量词）,件 (量词)
1847,󲹆,1、跨上；2、（过分）；3、（地名用词）；,"1. 跨上; 2. (过分) ; 3, (place name用词) ; "
1848,󲹇,卡（大拇指和食指张开的长度）；,"卡(big, large拇point, indicate和食point, indicate张drive, operate的长度) ; "
1849,󲹈,美丽、漂亮,"美丽, 漂亮"
1850,󲹉,地点、住所,"place, location点, 住所"
1851,󲹊,答应,答应
1852,󲹋,（哼哈）,（哼哈）
1853,󲹌,容易,容易
1854,󲹍,（屎（儿语））,(屎 (儿语) )
1855,󲹎,1、（带柄工具名称的）后缀词素；2、把（量词）；3、（毛）倒、反；,"1. (带柄工具名称的) 后缀词素; 2. 把(量词) ; 3, (hair, wool) 倒, 反; "
1856,󲹏,（骨头）,（骨头）
1857,󲹐,1、指责；2、放出（塘水、田水等）；,"1. point, indicate责; 2. 放出(塘水, 田水等) ; "
1858,󲹑,（精气灵气）,（精气灵气）
1859,󲹒,1、出（血、脓）；2、（地名用词）；,"1. 出(血, 脓) ; 2. (place name用词) ; "
1860,󲹓,间（量词）,间 (量词)
1861,󲹔,窝（量词--指猪、狗、鸡等）,"窝 (量词--point, indicate猪, 狗, 鸡等)"
1862,󲹕,绵羊（古语）,sheep (ancient saying)
1863,󲹖,（伤口）愈合,(伤口) 愈合
1864,󲹗,1、（休克、昏死）；2、（气馁、疲倦）；,"1. (休克, 昏死) ; 2. (气馁, 疲倦) ; "
1865,󲹘,（1、没兴趣；2、没力气；）,（1. 没兴趣; 2. 没力气; ）
1866,󲹙,（耳坠、耳环）,"（耳坠, 耳环）"
1867,󲹚,1、完成、成功；2、过（渡）；,"1. 完成, 成功; 2. 过(渡) ; "
1868,󲹛,（草席）,（grass席）
1869,󲹜,（感谢）,（感谢）
1870,󲹝,缩,缩
1871,󲹞,（比方）,"（比square, direction）"
1872,󲹟,安装、组装,"安装, 组装"
1873,󲹠,（虐待）,（虐待）
1874,󲹡,嗑（瓜子）,嗑 (瓜子)
1875,󲹢,（梨子）,（梨子）
1876,󲹣,椽（子）,椽 (子)
1877,󲹤,（唠唠叨叨）,（唠唠叨叨）
1878,󲹥,垫（子）,垫 (子)
1879,󲹦,（腰围大，口径小编制精细的篾箩）,"（腰围big, large, 口径小编制精细的bamboo basket）"
1880,󲹧,（嚎嗷嗷大哭）,"（嚎嗷嗷big, large哭）"
1881,󲹨,凸,凸
1882,󲹩,（喜鹊）,（喜鹊）
1883,󲹪,1、酸；2、腌；,1. 酸; 2. 腌; 
1884,󲹫,震（动）,震 (动)
1885,󲹬,（下）垂,"(descend, go down) 垂"
1886,󲹭,节省,节省
1887,󲹮,浪费,浪费
1888,󲹯,演（戏）,演 (戏)
1889,󲹰,放、上,"放, 上"
1890,󲹱,（八角）,（star anise）
1891,󲹲,带、领,"带, 领"
1892,󲹳,（土坎）,（土坎）
1893,󲹴,（庄稼）损失,(crops) 损失
1894,󲹵,拜寄,拜寄
1895,󲹶,马,horse
1896,󲹷,（虎杖（俗称酸汤杆，一种野生植物）,"（虎杖 (俗称酸汤杆, one种野生植object, thing)"
1897,󲹸,阵（量词）,阵 (量词)
1898,󲹹,（石榴）,（石榴）
1899,󲹺,1、打（土坯）；2、擀（香）；,1. 打(土坯) ; 2. 擀(香) ; 
1900,󲹻,用手肘拐（使人注意）,"用hand肘拐 (使person, people注意)"
1901,󲹼,约、约定、决定；,"约, 约定, 决定; "
1902,󲹽,1、戒（烟酒等）；2、荡（刀子）；,"1. 戒(烟wine, alcohol等) ; 2. 荡(刀子) ; "
1903,󲹾,几乎、差点儿,"几乎, 差点儿"
1904,󲹿,（蜂）蜡,(蜂) 蜡
1905,󲺀,（蜂）房,(蜂) 房
1906,󲺁,1、（味）鲜美；2、香味、好吃；,"1. (味) 鲜美; 2. 香味, 好吃; "
1907,󲺂,拌,拌
1908,󲺃,（生血菜（用猪、鸡血等的生血加盐、香料拌合生吃））,"(生血菜 (用猪, 鸡血等的生血加盐, 香料拌合生吃) )"
1909,󲺄,（遮）荫,(遮) 荫
1910,󲺅,花（斑纹）,花 (斑纹)
1911,󲺆,重字,重字
1912,󲺇,（也许、可能）,"（也许, 可能）"
1913,󲺈,（乌龟）,（乌龟）
1914,󲺉,（稀（烂））,(稀 (烂) )
1915,󲺊,1、（花）蕾；2、骨朵；,1. (花) 蕾; 2. 骨朵; 
1916,󲺋,（杨梅）,（杨梅）
1917,󲺌,（丢脸、丢丑）,"（丢脸, 丢丑）"
1918,󲺍,（可惜）,（可惜）
1919,󲺎,怕,怕
1920,󲺏,朵（量词）,朵 (量词)
1921,󲺐,渗透,"渗through, thorough"
1922,󲺑,痰、唾沫,"痰, 唾沫"
1923,󲺒,瘾,瘾
1924,󲺓,1、（另外）；2、（人名、地名用字）；,"1. (另外) ; 2. (person, people名, place name用字) ; "
1925,󲺔,（被子）,（被子）
1926,󲺕,枪,枪
1927,󲺖,（捣衣棍）,（捣衣棍）
1928,󲺗,（呕）心,"(呕) heart, mind"
1929,󲺘,说（引述式）,说 (引述式)
1930,󲺙,挣、拼搏,"挣, 拼搏"
1931,󲺚,过（时态助词）,过 (时态助词)
1932,󲺛,蒙,蒙
1933,󲺜,蒂,蒂
1934,󲺝,替,替
1935,󲺞,椆（diāo ）（树）,椆(diāo )  (树)
1936,󲺟,1、角；2、边；,"1. 角; 2. edge, side; "
1937,󲺠,1、林（木）；2、（海拔高的地方）；3、（古代部落首领人名用词）；4、（古代部落名用词）；5、（彝语地名用词）；6（茂盛）；,"1. 林(wood) ; 2. (海拔高的place, locationsquare, direction) ; 3, (古代部fall, drop首领person, people名用词) ; 4, (古代部fall, drop名用词) ; 5, (彝语place name用词) ; 6(茂盛) ; "
1938,󲺡,喧闹,喧闹
1939,󲺢,（1、先生；2、师傅；）,（1. 先生; 2. 师傅; ）
1940,󲺣,1、爬（行）；2、（蠕动）；,"1. crawl, climb(行) ; 2. (wriggle, crawl) ; "
1941,󲺤,关（自动）,关 (自动)
1942,󲺥,跳纱,"跳gauze, yarn"
1943,󲺦,站（使动),站（使动)
1944,󲺧,培育、护育,"培育, 护育"
1945,󲺨,锅铲,锅铲
1946,󲺩,家,家
1947,󲺪,1、拈；2、挑；,1. 拈; 2. 挑; 
1948,󲺫,赠送、馈赠；,"赠送, 馈赠; "
1949,󲺬,狠,狠
1950,󲺭,1、（词尾）子；2、（磨担秋）；,1. (词tail) 子; 2. (磨shoulder pole秋) ; 
1951,󲺮,怂恿、唆使,"怂恿, 唆使"
1952,󲺯,超度,超度
1953,󲺰,（臀部）,（臀部）
1954,󲺱,（先前）,（先前）
1955,󲺲,结拜（弟兄）,结拜 (弟elder brother)
1956,󲺳,供奉、祭奠（神灵）,"offer, worship, 祭奠 (神灵)"
1957,󲺴,（马蜂）,（horse蜂）
1958,󲺵,（雾）笼罩,(雾) 笼罩
1959,󲺶,拍、抖,"拍, 抖"
1960,󲺷,（旁边）,"（旁edge, side）"
1961,󲺸,（规矩、礼节）,"（规矩, 礼节）"
1962,󲺹,（叽哩（象声词）蟋蟀叫声）,(叽哩 (onomatopoeia) 蟋蟀叫声)
1963,󲺺,（泸沽湖）,（泸沽湖）
1964,󲺻,（平安、顺利）,"（平安, 顺利）"
1965,󲺼,1、龙；2、辰（地址的第五位）；3、（高兴）；4、（腊鲁（彝族支系））；5、（福禄）；6、（鲁弘（古彝族的一个部族名称）；7、（彝族人名地名用词）；,"1. 龙; 2. 辰(place, location址的第five位) ; 3, (高兴) ; 4, (腊鲁 (彝族支系) ); 5, (福禄) ; 6, (鲁弘（古彝族的one个部族名称) ; 7, (彝族person, people名place name用词) ; "
1966,󲺽,拍（手）,拍 (hand)
1967,󲺾,（云雀）,（云雀）
1968,󲺿,刷（子）,刷 (子)
1969,󲻀,1、一瞬间；2、（眼睁睁）；,1. one瞬间; 2. (eye睁睁) ; 
1970,󲻁,燃,燃
1971,󲻂,夹,夹
1972,󲻃,（肚）脐,(肚) 脐
1973,󲻄,此、这、今,"此, 这, 今"
1974,󲻅,1、相互；2、（合伙）；,1. 相互; 2. (合伙) ; 
1975,󲻆,真,真
1976,󲻇,移动,移动
1977,󲻈,瞅（人）,"瞅 (person, people)"
1978,󲻉,试（验）、（尝）试,"试(验) , (尝) 试"
1979,󲻊,考试,考试
1980,󲻋,升（名、量词）,"rise, ascend (名, 量词)"
1981,󲻌,抠,抠
1982,󲻍,晾、摊,"晾, 摊"
1983,󲻎,沟,沟
1984,󲻏,1、（从上而下）铲；2、刮（东西）；,"1. (从上而descend, go down) 铲; 2. 刮(东西) ; "
1985,󲻐,（立即、即刻）,"（立即, 即刻）"
1986,󲻑,殡,殡
1987,󲻒,（白生生）,（白生生）
1988,󲻓,皮,皮
1989,󲻔,疤痕,疤痕
1990,󲻕,勾引,勾引
1991,󲻖,虱子,虱子
1992,󲻗,1、（整）齐；2、（满满尖尖）；,1. (整) 齐; 2. (满满尖尖) ; 
1993,󲻘,（五行）,（five行）
1994,󲻙,光（华）,light (华)
